"text";"url";"categories"
"La Revue nouvelle"; "http://web.archive.org/web/20230321110835/https://www.revuenouvelle.be/"; ""
"Le Travail social en lutte"; "http://web.archive.org/web/20230321110835/https://travailsocialenlutte.collectifs.net/"; ""
"Les librairies indépendantes"; "http://web.archive.org/web/20230321110835/https://www.leslibrairiesindependantes.be/"; ""
"Levv"; "http://web.archive.org/web/20230321110835/https://levv.io/"; ""
"Libre Objet"; "http://web.archive.org/web/20230321110835/http://libreobjet.org/about.html"; ""
"Naviguer librement en Belgique"; "http://web.archive.org/web/20230321110835/https://cartementale.auxportesdulibre.be/"; ""
"Nubo, coopérative pour mail et cloud."; "http://web.archive.org/web/20230321110835/https://nubo.coop/fr/"; ""
"Olivier Bertrand, pages & typography"; "http://web.archive.org/web/20230321110835/http://olivierbertrand.com/index.html"; ""
"OSP (Open Source Publishing)"; "http://web.archive.org/web/20230321110835/http://osp.kitchen/"; ""
"PointCulture"; "http://web.archive.org/web/20230321110835/https://www.pointculture.be/"; ""
"Présence et Action Culturelles"; "http://web.archive.org/web/20230321110835/https://www.pac-g.be/"; ""
"Réseau des Arts à Bruxelles (RAB / BKO)"; "http://web.archive.org/web/20230321110835/https://rabbko.be/fr/"; ""
"SAW-B, fédération d’économie sociale"; "http://web.archive.org/web/20230321110835/https://saw-b.be/"; ""
"Sebastião Salgado_Photos de la mine d’or la plus grande et la plus dangereuse du Brésil"; "http://web.archive.org/web/20230321110835/https://publicdelivery.org/sebastiao-salgado-serra-pelada-gold-mine-brazil/"; ""
"Stéphanie Vilayphiou : Designer textile"; "http://web.archive.org/web/20230321110835/https://greenfabric.be/stephanie-vilayphiou/"; ""
"The Commotion Wireless Project"; "http://web.archive.org/web/20230321110835/https://www.commotionwireless.net/"; ""
"(Re)Building Technology - Build-it-ourselves Community Networks"; "http://web.archive.org/web/20230321110835/https://communitytechnology.github.io/"; ""
"Autogestion. L’Encyclopédie internationale"; "http://web.archive.org/web/20230321110835/https://www.syllepse.net/autogestion-l-encyclopedie-internationale-_r_76_i_648.html"; ""
"Building A Local Network With LoRaWAN"; "http://web.archive.org/web/20230321110835/https://hackaday.com/2022/10/22/building-a-local-network-with-lorawan/"; ""
"deuxfleurs"; "http://web.archive.org/web/20230321110835/https://deuxfleurs.fr/"; ""
"L’Atelier Paysan"; "http://web.archive.org/web/20230321110835/https://www.latelierpaysan.org/"; ""
"#2 / Pour une ethnographie des réseaux sans fil communautaires: Implémenter des technologies décentralisées pour agir contre la crise à Détroit : Urbanités"; "http://web.archive.org/web/20230321110835/https://www.revue-urbanites.fr/pour-une-ethnographie-des-reseaux-sans-fil-communautaires-implementer-des-technologies-decentralisees-pour-agir-contre-la-crise-a-detroit/"; ""
"Entreprécariat_silvio-lorusso_eng_lo.pdf"; "http://web.archive.org/web/20230321110835/https://silviolorusso.com/wordpress/wp-content/uploads/2019/10/ENTREPRECARIAT_silvio-lorusso_eng_lo.pdf"; ""
"Le meilleur suffit, une histoire des coopératives de consommateurs d’avant-hier à demain"; "http://web.archive.org/web/20230321110835/https://vimeo.com/354528252?embedded=true&source=vimeo_logo&owner=3888130"; ""
"Entreprécariat : de l’entrepreneuriat à la précarité, les deux faces d’un même modèle"; "http://web.archive.org/web/20230321110835/https://www.internetactu.net/2019/12/03/entreprecariat-de-lentrepreneuriat-a-la-precarite-les-deux-faces-dun-meme-modele/"; ""
"Annuaire de l’Economie Sociale en Belgique"; "http://web.archive.org/web/20230321110835/https://annuaire.economiesociale.be/"; ""
"Annuaire de l’écomie sociale en France"; "http://web.archive.org/web/20230321110835/https://carteco-ess.org/annuaire#/carte/@47.11,3.58,6z?cat=all"; ""
